name,type,file
SRR1045638,lung,
SRR1045641,lung,
SRR536237,lung,
SRR1045708,pancreas,
SRR1045707,pancreas,
SRR620007,pancreas,
SRR536234,colon,
SRR536235,colon,
SRR641696,colon,
