experiment,tissue,donor,seq_replicate_1,seq_replicate_2,
SRX388734,Lung cells,STL001,SRR1045638,SRR1045641
SRX175350,Lung cells,STL002,SRR536237,SRR536238
SRX388743,Pancreas cells,STL002,SRR1045708,SRR1045707
SRX175354,Pancreas cells,STL003,SRR620007,SRR620008
SRX175348,Sigmoid colon cells,STL001,SRR536234,SRR536235
SRX190161,Sigmoid colon cells,STL003,SRR641696,SRR641695
